Saint,Miracle,Feat,Other Factoids,Something Fishy,Sources
Abraham_of_Arbela,,,martyr,smells. arbitrarily mentions paragraph 8 of chapter 8 of a guy named Sozomen's book. The quote says all the christians were given the crown of martyrdom aka they were slaughtered by the pharisee. these articles are being written by demons controlling editors of these articles(mostly jews). ,wikipedia as interpreted by spellsoftruth
Abraham_of_Bulgaria,,,fraudulent martyr killed by good men for being a typical grabbler,Abraham of Bulgaria was a rich and notable merchant(pharisee).,wikipedia as interpreted by spellsoftruth
Abraham_of_Carrhae,"Possibly the same Abraham from the old testament, he presumably attained immortality through usage of alchemy philosophers stone. See alchemical book ""Abraham the Jew""",fasted in the desert to the point that he could not physically move,hermit,also smells like he might be abraham from old testament and possibly later became theodiunus the younger emperor of constantanople. same as abraham of cyrrhus,wikipedia as interpreted by spellsoftruth
Abraham_of_Clermont,"Possibly the same Abraham from the old testament, he presumably attained immortality through usage of alchemy philosophers stone. See alchemical book ""Abraham the Jew""",,founded a monastary. ,,wikipedia as interpreted by spellsoftruth
Abraham_of_Cyrrhus,"Possibly the same Abraham from the old testament, he presumably attained immortality through usage of alchemy philosophers stone. See alchemical book ""Abraham the Jew""",fasted in the desert to the point that he could not physically move,,also smells like he might be abraham from old testament and possibly later became theodiunus the younger emperor of constantanople. same as abraham of carrhae,wikipedia as interpreted by spellsoftruth
Abraham_of_Egypt,,,hermit,coptic smells,wikipedia as interpreted by spellsoftruth
Abraham_of_Farshut,,,,"abbot, coptic",wikipedia as interpreted by spellsoftruth
Abraham_of_Galich,,,founded 4 monasteries,,wikipedia as interpreted by spellsoftruth
Abraham_of_Kratia,,,,"monk, smells",wikipedia as interpreted by spellsoftruth
Abraham_of_Paleostrov,"Possibly the same Abraham from the old testament, the date of death is off. See alchemical book ""Abraham the Jew""",,monastery founded in his name,"abbot, smells date of death dont match.",wikipedia as interpreted by spellsoftruth
Abraham_of_Rostov,Possibly the same Abraham from the old testament. healed himself of chronic illness when young. had a vision. conjured a staff with a cross at the top given to him by John the Evangalist to destroy an idol.,,Staff was used by Ivan the Terrible to destroy the Khanate of Kazan,,wikipedia as interpreted by spellsoftruth
Abraham_of_Scetes,vision of christ riding a cherubim,,,"monk, smells",wikipedia as interpreted by spellsoftruth
Abraham_of_Smolensk,"miracle worker, wiki doesn't list any. Most likely healed sick and troubled.",,,,wikipedia as interpreted by spellsoftruth
Abraham_of_the_High_Mountain,"miracle worker, wiki doesn't list any.",,,,wikipedia as interpreted by spellsoftruth
Abraham_the_Great_of_Kashkar,,,,changed the law so monks and nuns could marry,wikipedia as interpreted by spellsoftruth
Abraham_the_Laborious,,,,"monk of kiev, smells",wikipedia as interpreted by spellsoftruth
Abraham_the_Poor,"Possibly the same Abraham from the old testament, he presumably attained immortality through usage of alchemy philosophers stone.",,,,wikipedia as interpreted by spellsoftruth
Abrahamite_monks,,,order of monks who were martyred,,wikipedia as interpreted by spellsoftruth
Abran,,,hermit,,wikipedia as interpreted by spellsoftruth
Abrosima,,,martyr,,wikipedia as interpreted by spellsoftruth
Absadah,,,,"smells, odd statement, ""Absadah was sentenced to be burnt alive; however, he was beheaded outside the walls of the city""",wikipedia as interpreted by spellsoftruth
Absadi,,Tortured with the wheel and throne on a stove. Both made him yawn. Then was beheaded.,martyr,eritrean smells,wikipedia as interpreted by spellsoftruth
Abselema_of_Edessa,,,,bishop,wikipedia as interpreted by spellsoftruth
Abudimus,,,martyr,greek smells,wikipedia as interpreted by spellsoftruth
Abulak,,,martyred with his 200 companions(martyred starting to sound more and more like murder to me),coptic smells,wikipedia as interpreted by spellsoftruth
Abuna_Aregawi,serpent carried him to top of cliff after being ordered by st Michael(possibly a dragon took him up there),,,ethiopian,wikipedia as interpreted by spellsoftruth
Abundantius,,,the name of several christian saints all martyred(murdered by the pharisee),,wikipedia as interpreted by spellsoftruth
Abundius,,,hermit,bishop,wikipedia as interpreted by spellsoftruth
Abundius_and_Abundantius,"resurrected John, son of Marcianus",,martyr,,wikipedia as interpreted by spellsoftruth
Abundius_and_Irenaeus,,,martyr,smells,wikipedia as interpreted by spellsoftruth
Abundius_of_Palestrina,,,,smells,wikipedia as interpreted by spellsoftruth
Abundius_of_Pietra_Montecorvina,,,martyr,smells,wikipedia as interpreted by spellsoftruth
Abundius_of_Umbria,,,martyr,smells,wikipedia as interpreted by spellsoftruth
Abundius_the_Sacristan,"healed by touch many people with many ailments including gout, palsy",,,,wikipedia as interpreted by spellsoftruth
Acacius_of_Amida,,,sold his churches gold and silver to save 7000 persian prisoners which helped end persecution of christians in sassanid.,smells who got the gold and silver(pharisee?),wikipedia as interpreted by spellsoftruth
Acacius_of_Caesarea,,,,smells bad just utter nonsense written on the wiki page,wikipedia as interpreted by spellsoftruth
Acacius_of_Sebaste,,,,"smells, dude seemed to have done nothing but watch a bunch of christians get tortured and murdered by pharisee",wikipedia as interpreted by spellsoftruth
Acarius,,,built a number of monasteries,,wikipedia as interpreted by spellsoftruth
Acathius_of_Melitene,simply says 'famous both for the splendour of his doctrinal teaching and the miracles he wrought' no mention of what the miracles were though.,,,,wikipedia as interpreted by spellsoftruth
Acca_of_Hexham,,,built a see. ,"smells, ""his body was translated at least three times"" huh?",wikipedia as interpreted by spellsoftruth
Acepsimas_of_Hnaita,,,martyr,"said something about the universal Creator, ""how can men prefer a creature to the Creator""",wikipedia as interpreted by spellsoftruth
Achilleus_Kewanuka,,,martyr,,wikipedia as interpreted by spellsoftruth
Achillius_of_Larissa,made oil flow from a stone,excorcised many demons.,,"smells bad, something about the story is a fabrication, but not the actual miracle.",wikipedia as interpreted by spellsoftruth
Acisclus,"thrown in furnace and started singing, thrown into the sea with rocks tied to thie feet, but still floated, suspended over a fire and the fire raged out of control and killed 100 pagans. Then let themselves die because they had proved their point.",,martyr,,wikipedia as interpreted by spellsoftruth
Acius,,,taken prisoner,smells,wikipedia as interpreted by spellsoftruth
Adalard_of_Corbie,,,,,wikipedia as interpreted by spellsoftruth
Adalbero_of_W%C3%BCrzburg,,,,,wikipedia as interpreted by spellsoftruth
Adalbert_of_Egmond,,,,,wikipedia as interpreted by spellsoftruth
Adalbert_of_Magdeburg,,,,,wikipedia as interpreted by spellsoftruth
Adalbert_of_Prague,,,,,wikipedia as interpreted by spellsoftruth
Adalgar,,,,,wikipedia as interpreted by spellsoftruth
Adalgis,,,,,wikipedia as interpreted by spellsoftruth
Adalgott,,,,,wikipedia as interpreted by spellsoftruth
Adamnan,,,,,wikipedia as interpreted by spellsoftruth
Adamo_Abate,,,,,wikipedia as interpreted by spellsoftruth
Adela_and_Irmina,,,,,wikipedia as interpreted by spellsoftruth
Adela_of_Normandy,,,,,wikipedia as interpreted by spellsoftruth
Adela_of_Pfalzel,,,,,wikipedia as interpreted by spellsoftruth
"Adelaide,_Abbess_of_Vilich",,,,,wikipedia as interpreted by spellsoftruth
Adelaide_of_Italy,,,,,wikipedia as interpreted by spellsoftruth
Adelelmus_of_Burgos,,,,,wikipedia as interpreted by spellsoftruth
Adelelmus_of_Flanders,,,,,wikipedia as interpreted by spellsoftruth
Adelin_of_S%C3%A9ez,,,,,wikipedia as interpreted by spellsoftruth
Aderald,,,,,wikipedia as interpreted by spellsoftruth
Adheritus,,,,,wikipedia as interpreted by spellsoftruth
Adjutor,,,,,wikipedia as interpreted by spellsoftruth
Ado_of_Vienne,,,,,wikipedia as interpreted by spellsoftruth
Adolf_Kolping,,,,,wikipedia as interpreted by spellsoftruth
Adolf_of_Osnabr%C3%BCck,,,,,wikipedia as interpreted by spellsoftruth
Adolphus_and_John,,,,,wikipedia as interpreted by spellsoftruth
Adomn%C3%A1n,,,,,wikipedia as interpreted by spellsoftruth
Adrian_Fortescue_(martyr),,,,,wikipedia as interpreted by spellsoftruth
Adrian_Van_Hilvarenbeek,,,,,wikipedia as interpreted by spellsoftruth
Adrian_of_Batanea,,,,,wikipedia as interpreted by spellsoftruth
Adrian_of_Canterbury,,,,,wikipedia as interpreted by spellsoftruth
Adrian_of_May,,,,,wikipedia as interpreted by spellsoftruth
Adrian_of_Nicomedia,,,,,wikipedia as interpreted by spellsoftruth
Adrian_of_Ondrusov,,,,,wikipedia as interpreted by spellsoftruth
Adrian_of_Poshekhonye,,,,,wikipedia as interpreted by spellsoftruth
Adrian_van_Hilvarenbeek,,,,,wikipedia as interpreted by spellsoftruth
Adulf,,,,,wikipedia as interpreted by spellsoftruth
Adwen,,,,,wikipedia as interpreted by spellsoftruth
Aecadius,,,,,wikipedia as interpreted by spellsoftruth
Aedesius_of_Alexandria,,,,,wikipedia as interpreted by spellsoftruth
Aelhaiarn,,,,,wikipedia as interpreted by spellsoftruth
Aelia_Eudocia,,,,,wikipedia as interpreted by spellsoftruth
Aelia_Flaccilla,,,,,wikipedia as interpreted by spellsoftruth
Aelred_of_Rievaulx,,,,,wikipedia as interpreted by spellsoftruth
Aengus,,,,,wikipedia as interpreted by spellsoftruth
Aethelwold_of_Winchester,,,,,wikipedia as interpreted by spellsoftruth
Afra,,,,,wikipedia as interpreted by spellsoftruth
Afrelia,,,,,wikipedia as interpreted by spellsoftruth
Africa_Province,,,,,wikipedia as interpreted by spellsoftruth
"Agape,_Chionia,_and_Irene",,,,,wikipedia as interpreted by spellsoftruth
Agapetus_of_the_Kiev_Caves,,,,,wikipedia as interpreted by spellsoftruth
Agapitus_I,,,,,wikipedia as interpreted by spellsoftruth
Agapitus_of_Palestrina,,,,,wikipedia as interpreted by spellsoftruth
Agapius,,,,,wikipedia as interpreted by spellsoftruth
Agatha_Kwon_Chin-i,,,,,wikipedia as interpreted by spellsoftruth
Agatha_Lin,,,,,wikipedia as interpreted by spellsoftruth
Agatha_Yi_Kyong-i,,,,,wikipedia as interpreted by spellsoftruth
Agatha_of_Sicily,,,,,wikipedia as interpreted by spellsoftruth
Agathangelus_of_Rome,,,,,wikipedia as interpreted by spellsoftruth
Agathius,,,,,wikipedia as interpreted by spellsoftruth
Agathoclia,,,,,wikipedia as interpreted by spellsoftruth
Agathonicus,,,,,wikipedia as interpreted by spellsoftruth
Agathonicus_and_Companions,,,,,wikipedia as interpreted by spellsoftruth
Agilbert,,,,,wikipedia as interpreted by spellsoftruth
Agilberta,,,,,wikipedia as interpreted by spellsoftruth
Agilulfus,,,,,wikipedia as interpreted by spellsoftruth
Agilulfus_of_Cologne,,,,,wikipedia as interpreted by spellsoftruth
Agnello_of_Naples,,,,,wikipedia as interpreted by spellsoftruth
Agnello_of_Pisa,,,,,wikipedia as interpreted by spellsoftruth
Agnes_Blannbekin,,,,,wikipedia as interpreted by spellsoftruth
Agnes_Galand,,,,,wikipedia as interpreted by spellsoftruth
Agnes_Le_Thi_Thanh,,,,,wikipedia as interpreted by spellsoftruth
Agnes_Phila,,,,,wikipedia as interpreted by spellsoftruth
Agnes_of_Assisi,,,,,wikipedia as interpreted by spellsoftruth
Agnes_of_Bavaria_(nun),,,,,wikipedia as interpreted by spellsoftruth
Agnes_of_Bohemia,,,,,wikipedia as interpreted by spellsoftruth
Agnes_of_Montepulciano,,,,,wikipedia as interpreted by spellsoftruth
Agnes_of_Poitiers,,,,,wikipedia as interpreted by spellsoftruth
Agnes_of_Rome,,,,,wikipedia as interpreted by spellsoftruth
Agobard,,,,,wikipedia as interpreted by spellsoftruth
Agofredus,,,,,wikipedia as interpreted by spellsoftruth
Agostina_Camozzi,,,,,wikipedia as interpreted by spellsoftruth
Agostina_Livia_Pietrantoni,,,,,wikipedia as interpreted by spellsoftruth
Agostino_Roscelli,,,,,wikipedia as interpreted by spellsoftruth
Agricius_of_Trier,,,,,wikipedia as interpreted by spellsoftruth
Agricolus,,,,,wikipedia as interpreted by spellsoftruth
Agrippina_of_Mineo,,,,,wikipedia as interpreted by spellsoftruth
Agrippinus_of_Carthage,,,,,wikipedia as interpreted by spellsoftruth
Agrippinus_of_Naples,,,,,wikipedia as interpreted by spellsoftruth
Agust%C3%ADn_Caloca_Cort%C3%A9s,,,,,wikipedia as interpreted by spellsoftruth
Aibert,,,,,wikipedia as interpreted by spellsoftruth
Aidan_of_Lindisfarne,,,,,wikipedia as interpreted by spellsoftruth
Aignan_of_Orleans,,,,,wikipedia as interpreted by spellsoftruth
Aigulf,,,,,wikipedia as interpreted by spellsoftruth
Ailer%C3%A1n,,,,,wikipedia as interpreted by spellsoftruth
Aileran,,,,,wikipedia as interpreted by spellsoftruth
Aimo,,,,,wikipedia as interpreted by spellsoftruth
Ajabel,,,,,wikipedia as interpreted by spellsoftruth
Alain_de_Solminihac,,,,,wikipedia as interpreted by spellsoftruth
Alban_Roe,,,,,wikipedia as interpreted by spellsoftruth
Alberic_Crescitelli,,,,,wikipedia as interpreted by spellsoftruth
Alberic_of_C%C3%AEteaux,,,,,wikipedia as interpreted by spellsoftruth
Alberic_of_Citeaux,,,,,wikipedia as interpreted by spellsoftruth
Alberic_of_Utrecht,,,,,wikipedia as interpreted by spellsoftruth
Albert_Avogadro,,,,,wikipedia as interpreted by spellsoftruth
Albert_Chmielowski,,,,,wikipedia as interpreted by spellsoftruth
Albert_of_Cashel,,,,,wikipedia as interpreted by spellsoftruth
Albert_of_Chiatina,,,,,wikipedia as interpreted by spellsoftruth
Albert_of_Genoa,,,,,wikipedia as interpreted by spellsoftruth
Albert_of_Louvain,,,,,wikipedia as interpreted by spellsoftruth
Albert_of_Montecorvino,,,,,wikipedia as interpreted by spellsoftruth
Albert_of_Trapani,,,,,wikipedia as interpreted by spellsoftruth
Albert_of_Vercelli,,,,,wikipedia as interpreted by spellsoftruth
Albert_the_Great,,,,,wikipedia as interpreted by spellsoftruth
Alberta_of_Agen,,,,,wikipedia as interpreted by spellsoftruth
Alberto_Hurtado,,,,,wikipedia as interpreted by spellsoftruth
Alberto_Hurtado_Cruchaga,,,,,wikipedia as interpreted by spellsoftruth
Alberto_Marvelli,,,,,wikipedia as interpreted by spellsoftruth
Albertus_Magnus,,,,,wikipedia as interpreted by spellsoftruth
Albinus_of_Angers,,,,,wikipedia as interpreted by spellsoftruth
Alburga,,,,,wikipedia as interpreted by spellsoftruth
Alchas_of_Toul,,,,,wikipedia as interpreted by spellsoftruth
Alchmund_of_Hexham,,,,,wikipedia as interpreted by spellsoftruth
Alcmund_of_Hexham,,,,,wikipedia as interpreted by spellsoftruth
Alcuin,,,,,wikipedia as interpreted by spellsoftruth
Aldebrandus,,,,,wikipedia as interpreted by spellsoftruth
Aldegundis,,,,,wikipedia as interpreted by spellsoftruth
Aldetrude,,,,,wikipedia as interpreted by spellsoftruth
Aldhelm,,,,,wikipedia as interpreted by spellsoftruth
Aldobrandesca,,,,,wikipedia as interpreted by spellsoftruth
Aldric,,,,,wikipedia as interpreted by spellsoftruth
Aldric_of_Le_Mans,,,,,wikipedia as interpreted by spellsoftruth
Aleaunie,,,,,wikipedia as interpreted by spellsoftruth
Alexander_(martyr),,,,,wikipedia as interpreted by spellsoftruth
Alexander_Briant,,,,,wikipedia as interpreted by spellsoftruth
Alexander_Forbes_(bishop_of_Brechin),,,,,wikipedia as interpreted by spellsoftruth
Alexander_Hotovitzky,,,,,wikipedia as interpreted by spellsoftruth
Alexander_Nevsky,,,,,wikipedia as interpreted by spellsoftruth
Alexander_Rawlins,,,,,wikipedia as interpreted by spellsoftruth
Alexander_Sauli,,,,,wikipedia as interpreted by spellsoftruth
Alexander_Schmorell,,,,,wikipedia as interpreted by spellsoftruth
Alexander_Svirsky,,,,,wikipedia as interpreted by spellsoftruth
Alexander_of_Bergamo,,,,,wikipedia as interpreted by spellsoftruth
Alexander_of_Comana,,,,,wikipedia as interpreted by spellsoftruth
Alexander_of_Constantinople,,,,,wikipedia as interpreted by spellsoftruth
Alexander_of_Jerusalem,,,,,wikipedia as interpreted by spellsoftruth
Alexander_the_Charcoal-Burner,,,,,wikipedia as interpreted by spellsoftruth
Alexandra_Feodorovna_(Alix_of_Hesse),,,,,wikipedia as interpreted by spellsoftruth
Alexandra_of_Rome,,,,,wikipedia as interpreted by spellsoftruth
Alexandrina_Maria_da_Costa,,,,,wikipedia as interpreted by spellsoftruth
"Alexei_Nikolaevich,_Tsarevich_of_Russia",,,,,wikipedia as interpreted by spellsoftruth
Alexei_Trupp,,,,,wikipedia as interpreted by spellsoftruth
Alexis_Falconieri,,,,,wikipedia as interpreted by spellsoftruth
Alexis_Toth,,,,,wikipedia as interpreted by spellsoftruth
Alexis_of_Wilkes-Barre,,,,,wikipedia as interpreted by spellsoftruth
"Alexius,_Metropolitan_of_Kiev",,,,,wikipedia as interpreted by spellsoftruth
"Alexius,_Metropolitan_of_Moscow",,,,,wikipedia as interpreted by spellsoftruth
Alexius_of_Rome,,,,,wikipedia as interpreted by spellsoftruth
Alfano_I_(Archbishop_of_Salerno),,,,,wikipedia as interpreted by spellsoftruth
Alferius,,,,,wikipedia as interpreted by spellsoftruth
Alfonso_Maria_Fusco,,,,,wikipedia as interpreted by spellsoftruth
Alfred_Ildefonse_Schuster,,,,,wikipedia as interpreted by spellsoftruth
Alfred_the_Great,,,,,wikipedia as interpreted by spellsoftruth
Alfreda,,,,,wikipedia as interpreted by spellsoftruth
Alfwold,,,,,wikipedia as interpreted by spellsoftruth
Alice_Kotowska,,,,,wikipedia as interpreted by spellsoftruth
Alice_of_Schaerbeek,,,,,wikipedia as interpreted by spellsoftruth
Alkelda,,,,,wikipedia as interpreted by spellsoftruth
Alkmund_of_Derby,,,,,wikipedia as interpreted by spellsoftruth
Allucio_of_Campigliano,,,,,wikipedia as interpreted by spellsoftruth
Allucio_of_Campugliano,,,,,wikipedia as interpreted by spellsoftruth
Almachius,,,,,wikipedia as interpreted by spellsoftruth
Alnoth,,,,,wikipedia as interpreted by spellsoftruth
Alonso_de_Orozco_Mena,,,,,wikipedia as interpreted by spellsoftruth
Aloysius_Gonzaga,,,,,wikipedia as interpreted by spellsoftruth
Aloysius_Stepinac,,,,,wikipedia as interpreted by spellsoftruth
Alpais,,,,,wikipedia as interpreted by spellsoftruth
Alphaeus_and_Zacchaeus,,,,,wikipedia as interpreted by spellsoftruth
Alphege,,,,,wikipedia as interpreted by spellsoftruth
Alphege_the_Elder,,,,,wikipedia as interpreted by spellsoftruth
Alphius,,,,,wikipedia as interpreted by spellsoftruth
Alphius_(martyr),,,,,wikipedia as interpreted by spellsoftruth
Alphonsa_Muttathupadathu,,,,,wikipedia as interpreted by spellsoftruth
Alphonsus_Liguori,,,,,wikipedia as interpreted by spellsoftruth
Alphonsus_Rodriguez,,,,,wikipedia as interpreted by spellsoftruth
Altfrid,,,,,wikipedia as interpreted by spellsoftruth
"Altmann,_Bishop_of_Passau",,,,,wikipedia as interpreted by spellsoftruth
Altmann_of_Passau,,,,,wikipedia as interpreted by spellsoftruth
Alto_of_Altom%C3%BCnster,,,,,wikipedia as interpreted by spellsoftruth
Alvarez_of_Cordoba,,,,,wikipedia as interpreted by spellsoftruth
Alvaro_del_Portillo,,,,,wikipedia as interpreted by spellsoftruth
Alypius_of_Thagaste,,,,,wikipedia as interpreted by spellsoftruth
Alypius_of_the_Caves,,,,,wikipedia as interpreted by spellsoftruth
Alypius_the_Stylite,,,,,wikipedia as interpreted by spellsoftruth
Amabilis_of_Riom,,,,,wikipedia as interpreted by spellsoftruth
"Amadeus_IX,_Duke_of_Savoy",,,,,wikipedia as interpreted by spellsoftruth
Amadeus_of_Lausanne,,,,,wikipedia as interpreted by spellsoftruth
Amadeus_of_Portugal,,,,,wikipedia as interpreted by spellsoftruth
Amador_of_Portugal,,,,,wikipedia as interpreted by spellsoftruth
Amalberga_of_Maubeuge,,,,,wikipedia as interpreted by spellsoftruth
Amalberga_of_Temse,,,,,wikipedia as interpreted by spellsoftruth
Amalburga,,,,,wikipedia as interpreted by spellsoftruth
Amandina_of_Schakkebroek,,,,,wikipedia as interpreted by spellsoftruth
Amandus,,,,,wikipedia as interpreted by spellsoftruth
Amantius_of_Como,,,,,wikipedia as interpreted by spellsoftruth
Amasius_of_Teano,,,,,wikipedia as interpreted by spellsoftruth
Amata,,,,,wikipedia as interpreted by spellsoftruth
Amata_of_Assisi,,,,,wikipedia as interpreted by spellsoftruth
Amato_Ronconi,,,,,wikipedia as interpreted by spellsoftruth
Amator,,,,,wikipedia as interpreted by spellsoftruth
Amatus,,,,,wikipedia as interpreted by spellsoftruth
Amatus_of_Nusco,,,,,wikipedia as interpreted by spellsoftruth
Ambrose,,,,,wikipedia as interpreted by spellsoftruth
Ambrose_Autpert,,,,,wikipedia as interpreted by spellsoftruth
Ambrose_Barlow,,,,,wikipedia as interpreted by spellsoftruth
Ambrose_Edward_Barlow,,,,,wikipedia as interpreted by spellsoftruth
Ambrose_Traversari,,,,,wikipedia as interpreted by spellsoftruth
Ambrose_of_Alexandria,,,,,wikipedia as interpreted by spellsoftruth
Ambrose_of_Camaldoli,,,,,wikipedia as interpreted by spellsoftruth
Ambrose_of_Optina,,,,,wikipedia as interpreted by spellsoftruth
Ambrose_of_Siena,,,,,wikipedia as interpreted by spellsoftruth
Ambrosio_Kibuuka,,,,,wikipedia as interpreted by spellsoftruth
Ambrosius_Gudko,,,,,wikipedia as interpreted by spellsoftruth
Ambrosius_of_Georgia,,,,,wikipedia as interpreted by spellsoftruth
Amelberga_of_Susteren,,,,,wikipedia as interpreted by spellsoftruth
Amelia_Bloomer,,,,,wikipedia as interpreted by spellsoftruth
Amon_of_Toul,,,,,wikipedia as interpreted by spellsoftruth
Ampelius_(bishop_of_Milan),,,,,wikipedia as interpreted by spellsoftruth
Ampelus,,,,,wikipedia as interpreted by spellsoftruth
Amphibalus,,,,,wikipedia as interpreted by spellsoftruth
