Saint,Miracle,Feat,Other Factoids,Something Fishy,Sources
Abraham_(Persian_saint),,,martyr,tortured and killed by Shapur II the pharisee,
Abraham_Kidunaia,,,seems like he was a good dude and possibly a giant,,
Abraham_and_Coprius_of_Gryazovets,,,,smells bad,
Abraham_and_Onesimus_of_Kiev_Caves,,,,cave monks,
Abraham_of_Arazd,,,,tortured then became hermit,
Abraham_of_Arbela,,,martyr,smells. arbitrarily mentions paragraph 8 of chapter 8 of a guy named Sozomen's book. The quote says all the christians were given the crown of martyrdom aka they were slaughtered by the pharisee. these articles are being written by demons controlling editors of these articles(mostly jews).,
Abraham_of_Bulgaria,,,fraudulent martyr killed by good men for being a typical grabbler,Abraham of Bulgaria was a rich and notable merchant(pharisee).,
Abraham_of_Carrhae,"Possibly the same Abraham from the old testament, he presumably attained immortality through usage of alchemy philosophers stone. See alchemical book ""Abraham the Jew""",fasted in the desert to the point that he could not physically move,hermit,also smells like he might be abraham from old testament and possibly later became theodiunus the younger emperor of constantanople. same as abraham of cyrrhus,
Abraham_of_Clermont,"Possibly the same Abraham from the old testament, he presumably attained immortality through usage of alchemy philosophers stone. See alchemical book ""Abraham the Jew""",,founded a monastary.,,
Abraham_of_Cyrrhus,"Possibly the same Abraham from the old testament, he presumably attained immortality through usage of alchemy philosophers stone. See alchemical book ""Abraham the Jew""",fasted in the desert to the point that he could not physically move,,also smells like he might be abraham from old testament and possibly later became theodiunus the younger emperor of constantanople. same as abraham of carrhae,
Abraham_of_Egypt,,,hermit,coptic smells,
Abraham_of_Farshut,,,,"abbot, coptic",
Abraham_of_Galich,,,founded 4 monasteries,,
Abraham_of_Kratia,,,,"monk, smells",
Abraham_of_Paleostrov,"Possibly the same Abraham from the old testament, the date of death is off. See alchemical book ""Abraham the Jew""",,monastery founded in his name,"abbot, smells date of death dont match.",
Abraham_of_Rostov,Possibly the same Abraham from the old testament. healed himself of chronic illness when young. had a vision. conjured a staff with a cross at the top given to him by John the Evangalist to destroy an idol.,,Staff was used by Ivan the Terrible to destroy the Khanate of Kazan,,
Abraham_of_Scetes,vision of christ riding a cherubim,,,"monk, smells",
Abraham_of_Smolensk,"miracle worker, wiki doesn't list any. Most likely healed sick and troubled.",,,,
Abraham_of_the_High_Mountain,"miracle worker, wiki doesn't list any.",,,,
Abraham_the_Great_of_Kashkar,,,,changed the law so monks and nuns could marry,
Abraham_the_Laborious,,,,"monk of kiev, smells",
Abraham_the_Poor,"Possibly the same Abraham from the old testament, he presumably attained immortality through usage of alchemy philosophers stone.",,,,
Abrahamite_monks,,,order of monks who were martyred,,
Abran,,,hermit,,
Abrosima,,,martyr,,
Absadah,,,,"smells, odd statement, ""Absadah was sentenced to be burnt alive; however, he was beheaded outside the walls of the city""",
Absadi,,Tortured with the wheel and throne on a stove. Both made him yawn. Then was beheaded.,martyr,eritrean smells,
Abselema_of_Edessa,,,,bishop,
Abudimus,,,martyr,greek smells,
Abulak,,,martyred with his 200 companions(martyred starting to sound more and more like murder to me),coptic smells,
Abuna_Aregawi,serpent carried him to top of cliff after being ordered by st Michael(possibly a dragon took him up there),,,ethiopian,
Abundantius,,,the name of several christian saints all martyred(murdered by the pharisee),,
Abundius,,,hermit,bishop,
Abundius_and_Abundantius,"resurrected John, son of Marcianus",,martyr,,
Abundius_and_Irenaeus,,,martyr,smells,
Abundius_of_Palestrina,,,,smells,
Abundius_of_Pietra_Montecorvina,,,martyr,smells,
Abundius_of_Umbria,,,martyr,smells,
Abundius_the_Sacristan,"healed by touch many people with many ailments including gout, palsy",,,,
Acacius_of_Amida,,,sold his churches gold and silver to save 7000 persian prisoners which helped end persecution of christians in sassanid.,smells who got the gold and silver(pharisee?),
Acacius_of_Caesarea,,,,smells bad just utter nonsense written on the wiki page,
Acacius_of_Sebaste,,,,"smells, dude seemed to have done nothing but watch a bunch of christians get tortured and murdered by pharisee",
Acarius,,,built a number of monasteries,,
Acathius_of_Melitene,simply says 'famous both for the splendour of his doctrinal teaching and the miracles he wrought' no mention of what the miracles were though.,,,,
Acca_of_Hexham,,,built a see.,"smells, ""his body was translated at least three times"" huh?",
Acepsimas_of_Hnaita,,,martyr,"said something about the universal Creator, ""how can men prefer a creature to the Creator""",
Achilleus_Kewanuka,,,martyr,,
Achillius_of_Larissa,made oil flow from a stone,excorcised many demons.,,"smells bad, something about the story is a fabrication, but not the actual miracle.",
Acisclus,"thrown in furnace and started singing, thrown into the sea with rocks tied to thie feet, but still floated, suspended over a fire and the fire raged out of control and killed 100 pagans. Then let themselves die because they had proved their point.",,martyr,,
Acius,,,taken prisoner,smells,
Adalard_of_Corbie,,,grandson of charles martel,"monk, abbot",
Adalbero_of_W%C3%BCrzburg,,,godfather of henry IV of holy roman empire,"smells, sided with papacy over emperor",
Adalbert_of_Egmond,miracles at his tomb but no info on what,,,"smells, ""The cult was reinstated when the abbey was re-founded in 1923, and the relics were returned there in 1984."" what cult? ",
Adalbert_of_Magdeburg,,,monk,,
Adalbert_of_Prague,,,"killed for being pompous to prussians, a guess thats a martyr. ","smells, ""Thus St. Adalbert's bones were preserved in Gniezno, which assisted Boleslaus I of Poland in increasing Polish political and diplomatic power in Europe. "" What does that mean? His bones gave the King of poland more power, something smells? supposedly a part of the royal family in bohemia before being sent to a monastery when young becuase he survived a grave illness.",
Adalgar,,,,"smells, sounds like a made up person to legitimize hamburg and bremen under the holy see",
Adalgis,,,,"smells, play written about him, son of king of lombards",
Adalgott,,,fed and took care of the poor and sick,,
Adamnan,,,created the 'law of innocents' in war,smells,
Adamo_Abate,,,,"smells, abbot, painting made about him",
Adela_and_Irmina,,,,"smells, princesses",
Adela_of_Normandy,,,,daughter of william the conqueror,
Adela_of_Pfalzel,,,absess,,
"Adelaide,_Abbess_of_Vilich",known for her miracles but doens't say any,,,"smells, she found a water source (water is literally everywhere underground its extremely easy to find water), it was turned into a well and miracles supposedly happened there. sounds like heirbert the archbishop 'friend' killed her because she was doing miracles then brought her body somewhere to use in death magic.",
Adelin_of_S%C3%A9ez,,,,"smells, wrote about the miracles of st opportuna. interesting name.",
Adjutor,stopped a whirlpool,swam back to france after being captured and taken to sea by muslims many miles away from the shore,,,
Ado_of_Vienne,,,historian,wrote on the miracles of st bernard,
Adolf_Kolping,they investigated his miracle and gave approval for sainthood in 1990. they don't say what the miracle was because these articles are written by rat parasites masquerading as humans,,,,
Adrian_Van_Hilvarenbeek,,,,"smells, ""A shrub bearing 19 white flowers is said to have sprung up at the site of their martyrdom. Many miracles have since been attributed to the intercession of the Gorkum Martyrs, especially the curing of hernias"" 19 eh? curing of hernias seems like a sexual deviancy reference, idk something smells about it though.",
Aelhaiarn,ripped limb from limb by a pack of wild animals for spying on st beuno in a tomb. st beuno realizing it was his disciple collected the limbs and brought him back from the dead,,,"smells, the miracle he's associated with isnt his.",
Agnello_of_Naples,healed countless people's incurable illnesses so much so that he became very famous in naples and had to flee.,,,,
Agnes_of_Bohemia,"visions, prophecies, and healing",,,,
Agnes_of_Montepulciano,people with mental and physical ailments were healed by her presence. Multiplied loaves of bread numerous times,,,,
Agostina_Camozzi,had visions and miracle worker (doesn't say what though),,,"smells as usual, another odd statement ""The examination reported all her teeth were present and the thorax was well preserved while there was the total absence of all internal organs."" What happened to the organs and why is this in a wiki article for a saint?",
Agostina_Livia_Pietrantoni,cured tuberculosis,,,"smells, odd statement ""Professor Achille Ballori (d. 1914) - who had once warned her about Romanelli - inspected her remains and observed that ""Sister Agostina has allowed herself to be slaughtered like a lamb"" and noted there were no contractions of either her nerves or heart."" Who cares if he warned her, how do they know that he said that she was slaughtered like a lamb and why even mention it? Parasites write these articles and it leaks thru.",
Alain_de_Solminihac,cured marie ledeux,,,"smells, dude looks like a rat pedophile",
Albert_Chmielowski,healed sick,"Had to get his leg amputated without anethesis after his horse was hit by a grenade, his response to the surgean was ""Give me a cigar - that will help me pass the time""",helped the poor,,
Albert_of_Montecorvino,known for his visions and miracles (doesn't say what),,blind,,
Alberto_Marvelli,healing of a doctors agressive hernia,,,"smells, sounds like a sexual deviency thing",
Albinus_of_Angers,while trying to free a woman in prison a soldier approached him and fell dead at his feet. saved a bunch of prisoners locked in a walled tower by having a portion of the wall fall open allowing the prisoners to escape. miracles done at his tomb. people prayed for his help in 1000AD during a battle and the enemy all dropped dead.,,also known as st aubin,,
Aldebrandus,was given a cooked partridge but was fasting so prayed over it and it came back to life and flew away,,,,
Aldhelm,miracles (doesn't say what),,wrote a bunch of books and poems in latin,,
Aldobrandesca,"Many miracles, ecstasies, and trances (doesn't go into detail)",,,"smells like rat parasites would mess with her. ""According to Loyola Press, she was a saint because of her charitable works, not her trances, demonstrated by her forgiveness towards a group of people who abused her during a trance, despite the excruciating pain they caused her.""",
Aldric_of_Le_Mans,,epic warrior who defeated armies of knights with only foot soldiers,"""He dismissed the Roman Curia's attempts to cause war between Russia and the Golden Horde, because he understood the uselessness of such war with the Tatars at a time when they were still a powerful force."" Odd statement that confirms that the Mongel Golden Horde and empire was in reality the Tatarian empire. Mongols are false history, it was the Tatarians.",,
Alexander_Sauli,,,,"smells like a secret society guy, lot of odd paintings of him with layered hidden colors, and also found this statement ""As he was, at the young age of 33, elected Superior General of a Religious Congregation, whose members were somewhat elderly, he under stood right away that ...To be superior meant for him first of all to lead in the rigorous observance of the Rule, and to be heroically faithful to the vows."" He was 33 and lead in rigorous observance of the Rule what the f is the Rule?",
Alexander_Svirsky,known for his miracles (doesn't say what),,,smells most likely did many miracles because the rat parasites stole his dead body. They use miracle workers bones to do kabbalistic parasite rituals.,
Alfonso_Maria_Fusco,healing,,,,
Alfred_Ildefonse_Schuster,healed glacoma,,,"smells, seems fake also named schuster.",
Alkmund_of_Derby,miracles at his tomb,,,"smells, seems like someone the catholic church said was christian in order to gain more terroritory in northumbria",
Allucio_of_Campugliano,legend and miracles attributed to him in a document(doesn't say name of doc or what miracles were because these articles are written by rat parasites masquerading as men),,,,
Alonso_de_Orozco_Mena,2 of his healings were considered miracles,,,"smells, guy looks like a goblin",
Alpais,miracles but doesn't say what,,,,
Alphonsa_Muttathupadathu,hundreds of miraculous cures are attributed to her,,,,
Altfrid,miracles attributed to his grave,,,smells,
Alto_of_Altom%C3%BCnster,awakened springs and had other miracles (doesn't say what miracles were because the articles are written by rat parasites masquerading as men),,,,
"Amadeus_IX,_Duke_of_Savoy",a compendium of miracles was created about him but of course it doesn't mention its name or what the miracles were because these wiki articles are written by rat parasite masquerading as men,,,,
Amadeus_of_Portugal,miracles attributed to him but doesn't mention what they were,,,,
Amalberga_of_Temse,crossed the river of Scheldt on a giant fish,,,,
Amandus,brought back to life a hanged criminal,,,,
Amato Ronconi,,,,"smells, ""his good deeds never went unnoticed for the townspeople hailed Ronconi as a saint in their midst even in the face of a slanderous accusation a jealous sister-in-law spread."" Huh? How the f would a wikipedia biography article writer know about Ronconi's 12th century jealous sister-in-law and why is this even mentioned? Who gives a f about some random jealous relative of a saint? So weird. ""Pope Pius VI beatified Ronconi on 17 April 1776 while waiving the requirement for two miracles attributed to his intercession. The cause reopened a long while later when the postulation sent the Positio dossier to the Congregation for the Causes of Saints in Rome in 2010 where the latter had historians discuss and approve the cause on 27 April 2010. Theologians approved the cause on 11 January 2013 as did the C.C.S. on 24 September 2013."" 1776? What the f is 'the cause'? Why are they incredibly obsessed with exact dates for arbitrary nonsense? So weird.",
Saint Ame,,,,"""Around 581, he entered the Abbey of St. Maurice, Agaunum, and at the age of thirty retired into a hermitage, where his reputation for a life of penance and prayer, privileged with the grace of miracle working, drew the attention of Eustace of Luxeuil, who persuaded Amatus to join his community."" This is bs. Everyone in existence can do miracles, its not a privilege, its innate in all of creation. What does 'grace of miracle working"" mean? ",
Amatus of Nusco,,,,"""Numerous miracles were reported at the site of his tomb and his cult developed to the point where he became recognised as a saint in the Roman Catholic Church, celebrated in the Roman Martyrology on 30 September.""  What miracles? His cult developed? He started a cult while living? Or after death? These articles are without question written by demonic negative spiritual entities.",
Ampelius (bishop of Milan),"""Ampelius is remembered as man able to do miracles, but we have no detail about his acts""",,,"The demon that wrote his wiki article makes it a point to emphasize the disputes about Ampelius's 'feast day', and the location of his 'relics'. I'm starting to realize that when the demon emphasizes the feast day and location of the 'relics', it means the saint was most likely a legitimate miracle user.",
Amphibalus,"""According to the tale, Saint Alban appeared in a vision to a monk named Robert, indicating that he wished to make the location of the remains of Amphibalus known. Robert followed the spirit of Alban and was led by the saint to the remains of Amphibalus and his companions. Healing miracles were performed immediately, and the abbot ordered the site to be excavated."" What does 'healing miracles were performed immediately' mean in this context? It makes no sense in this context...",,,"smells bad. ""The location of the inventio at Redbourn was discovered near ancient Anglo-Saxon burial mounds."" What is a 'inventio'?",
Amphilochius of Pochayiv,"""It was believed that God gifted him with the grace of prophecy and the performing of miracles.""",,,smells,
Ana Petra Pérez Florido,"""The miracle for beatification was investigated and had received C.C.S. validation on 18 October 1991."" No mention of what the miracle actually was.",,,"seemed like a good woman, but the article smells.",
Ana Monteagudo Ponce de Leon,"""Pope John Paul II acknowledged a single miracle attributed to her intercession in a decree issued on 30 March 1981 and thus approved her beatification."" No mention of what the actual miracle was.",,,,
André-Hubert Fournet,"""He is said to have - in what was seen as a miracle - multiplied food for the members of the new congregation and their charges a number of times."" What do they mean by congregation and their 'charges' a number of times. Sounds related to electricity. ""Pope Pius XI confirmed two miracles to him..."" No mention of what the actual miracles were.",,,,
